Year,Year2,Year3,State,Total Rev
12/1/05,2005-00-01,1/1/05,New York,0.17388659
12/1/05,2005-00-01,1/1/05,North Carolina,0.01368132
12/1/05,2005-00-01,1/1/05,North Dakota,0.124542029
12/1/05,2005-00-01,1/1/05,Ohio,0.042735074
12/1/05,2005-00-01,1/1/05,Oklahoma,0.029013201
12/1/05,2005-00-01,1/1/05,Oregon,-0.024138769
12/1/05,2005-00-01,1/1/05,Pennsylvania,0.135039265
12/1/05,2005-00-01,1/1/05,Rhode Island,0.103614786
12/1/05,2005-00-01,1/1/05,South Carolina,0.005946037
12/1/05,2005-00-01,1/1/05,South Dakota,0.071474808
12/1/05,2005-00-01,1/1/05,Tennessee,0.042958769
12/1/05,2005-00-01,1/1/05,Texas,0.016008039
12/1/05,2005-00-01,1/1/05,Utah,0.015192616
12/1/05,2005-00-01,1/1/05,Vermont,0.124231464
12/1/05,2005-00-01,1/1/05,Virginia,0.101546172
12/1/05,2005-00-01,1/1/05,Washington,0.018923155
12/1/05,2005-00-01,1/1/05,West Virginia,0.047177947
12/1/05,2005-00-01,1/1/05,Wisconsin,0.047443432
12/1/05,2005-00-01,1/1/05,Wyoming,0.209790938
12/1/06,2006-00-01,1/1/06,United States,0.083866313
12/1/06,2006-00-01,1/1/06,Alabama,0.086101676
12/1/06,2006-00-01,1/1/06,Alaska,0.057297871
12/1/06,2006-00-01,1/1/06,Arizona,0.002435908
12/1/06,2006-00-01,1/1/06,Arkansas,0.149315732
12/1/06,2006-00-01,1/1/06,California,0.064270671
12/1/06,2006-00-01,1/1/06,Colorado,0.060543121
12/1/06,2006-00-01,1/1/06,Connecticut,0.122506096
12/1/06,2006-00-01,1/1/06,Delaware,0.140981242
12/1/06,2006-00-01,1/1/06,District of Columbia,-0.012629028
12/1/06,2006-00-01,1/1/06,Florida,0.152433073
12/1/06,2006-00-01,1/1/06,Georgia,0.021548328
12/1/06,2006-00-01,1/1/06,Hawaii,0.294402015
12/1/06,2006-00-01,1/1/06,Idaho,-0.013953293
12/1/06,2006-00-01,1/1/06,Illinois,0.040840271
12/1/06,2006-00-01,1/1/06,Indiana,0.087318794
12/1/06,2006-00-01,1/1/06,Iowa,0.051535094
12/1/06,2006-00-01,1/1/06,Kansas,0.100727635
12/1/06,2006-00-01,1/1/06,Kentucky,0.119887537
12/1/06,2006-00-01,1/1/06,Louisiana,0.298701133
12/1/06,2006-00-01,1/1/06,Maine,0.119912738
12/1/06,2006-00-01,1/1/06,Maryland,0.137146538
12/1/06,2006-00-01,1/1/06,Massachusetts,0.140959443
12/1/06,2006-00-01,1/1/06,Michigan,-0.02913967
12/1/06,2006-00-01,1/1/06,Minnesota,0.060838065
12/1/06,2006-00-01,1/1/06,Mississippi,0.259093391
12/1/06,2006-00-01,1/1/06,Missouri,0.059208666
12/1/06,2006-00-01,1/1/06,Montana,0.099835428
12/1/06,2006-00-01,1/1/06,Nebraska,0.086834963
12/1/06,2006-00-01,1/1/06,Nevada,0.103676354
12/1/06,2006-00-01,1/1/06,New Hampshire,0.174639767
12/1/06,2006-00-01,1/1/06,New Jersey,0.141500422
12/1/06,2006-00-01,1/1/06,New Mexico,0.067137576
12/1/06,2006-00-01,1/1/06,New York,0.203379988
12/1/06,2006-00-01,1/1/06,North Carolina,0.00938073
12/1/06,2006-00-01,1/1/06,North Dakota,0.154744875
12/1/06,2006-00-01,1/1/06,Ohio,0.071485529
12/1/06,2006-00-01,1/1/06,Oklahoma,0.028953673
12/1/06,2006-00-01,1/1/06,Oregon,0.006226471
12/1/06,2006-00-01,1/1/06,Pennsylvania,0.159471331
12/1/06,2006-00-01,1/1/06,Rhode Island,0.145425075
12/1/06,2006-00-01,1/1/06,South Carolina,0.035957975
12/1/06,2006-00-01,1/1/06,South Dakota,0.09317686
12/1/06,2006-00-01,1/1/06,Tennessee,0.048223083
